序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-06-30,买入,1,002263,PET铜箔,4.163,8000,33304.32,266.43,,,29.01,99735.68,站上,持有至2025-07-03到期
2,2025-06-30,买入,2,605389,减速器,43.989,700,30792.38,246.34,,,2540.95,99491.3,站上,持有至2025-07-03到期
3,2025-06-30,买入,3,002558,电子竞技,23.59,1400,33026.31,264.21,,,307.02,99229.18,站上,持有至2025-07-03到期
4,2025-07-03,卖出,1,002263,PET铜箔,4.276,8000,34204.16,273.63,2.7,899.84,34233.17,133263.34,站上,到期
5,2025-07-03,卖出,2,605389,减速器,37.488,700,26241.38,209.93,-14.78,-4551.01,28782.33,122049.72,站上,到期
6,2025-07-03,卖出,3,002558,电子竞技,22.72,1400,31807.69,254.46,-3.69,-1218.63,32114.71,127194.4,站上,到期
7,2025-07-03,买入,1,600601,PCB概念,5.635,6000,33808.32,270.47,,,424.85,94861.88,站上,持有至2025-07-08到期
8,2025-07-03,买入,2,002636,PCB概念,10.392,2700,28059.7,224.48,,,722.63,94639.19,站上,持有至2025-07-08到期
9,2025-07-03,买入,3,002938,同花顺果指数,36.026,800,28820.74,230.57,,,3293.97,94410.45,站上,持有至2025-07-08到期
10,2025-07-08,卖出,1,600601,PCB概念,5.734,6000,34402.56,275.22,1.76,594.24,34827.41,137121.01,站上,到期
11,2025-07-08,卖出,2,002636,PCB概念,13.61,2700,36747.65,293.98,30.96,8687.95,37470.28,142563.66,站上,到期
12,2025-07-08,卖出,3,002938,同花顺果指数,38.986,800,31188.48,249.51,8.22,2367.74,34482.45,138220.14,站上,到期
13,2025-07-08,买入,1,002552,PCB概念,16.229,2100,34080.48,272.64,,,746.93,106509.66,站上,持有至2025-07-11到期
14,2025-07-08,买入,2,000617,信托概念,8.664,4300,37254.17,298.03,,,216.11,106213.99,站上,持有至2025-07-11到期
15,2025-07-08,买入,3,002636,PCB概念,13.83,2400,33191.42,265.53,,,1291.03,105950.57,站上,持有至2025-07-11到期
16,2025-07-11,卖出,1,002552,PCB概念,15.138,2100,31789.63,254.32,-6.72,-2290.85,32536.57,143063.2,站上,到期
